state,year,cases
Alabama,1993,487
Alabama,1994,433
Alabama,1995,420
Alabama,1996,423
Alabama,1997,405
Alabama,1998,381
Alabama,1999,314
Alabama,2000,310
Alabama,2001,264
Alabama,2002,233
Alabama,2003,258
Alabama,2004,211
Alabama,2005,216
Alabama,2006,196
Alabama,2007,176
Alabama,2008,176
Alabama,2009,168
Alabama,2010,146
Alabama,2011,161
Alabama,2012,134
Alabama,2013,108
Alabama,2014,133
Alabama,2015,119
Alabama,2016,112
Alaska,1993,57
Alaska,1994,92
Alaska,1995,82
Alaska,1996,97
Alaska,1997,78
Alaska,1998,55
Alaska,1999,61
Alaska,2000,108
Alaska,2001,54
Alaska,2002,49
Alaska,2003,57
Alaska,2004,43
Alaska,2005,59
Alaska,2006,70
Alaska,2007,50
Alaska,2008,50
Alaska,2009,37
Alaska,2010,57
Alaska,2011,67
Alaska,2012,65
Alaska,2013,71
Alaska,2014,62
Alaska,2015,68
Alaska,2016,57
Arizona,1993,228
Arizona,1994,247
Arizona,1995,317
Arizona,1996,282
Arizona,1997,296
Arizona,1998,254
Arizona,1999,262
Arizona,2000,261
Arizona,2001,289
Arizona,2002,263
Arizona,2003,295
Arizona,2004,272
Arizona,2005,281
Arizona,2006,313
Arizona,2007,302
Arizona,2008,227
Arizona,2009,232
Arizona,2010,282
Arizona,2011,255
Arizona,2012,211
Arizona,2013,184
Arizona,2014,193
Arizona,2015,198
Arizona,2016,188
Arkansas,1993,209
Arkansas,1994,264
Arkansas,1995,271
Arkansas,1996,225
Arkansas,1997,200
Arkansas,1998,171
Arkansas,1999,181
Arkansas,2000,199
Arkansas,2001,162
Arkansas,2002,136
Arkansas,2003,128
Arkansas,2004,134
Arkansas,2005,117
Arkansas,2006,102
Arkansas,2007,106
Arkansas,2008,83
Arkansas,2009,82
Arkansas,2010,78
Arkansas,2011,85
Arkansas,2012,70
Arkansas,2013,72
Arkansas,2014,93
Arkansas,2015,90
Arkansas,2016,91
California,1993,5146
California,1994,4834
California,1995,4656
California,1996,4288
California,1997,4045
California,1998,3850
California,1999,3604
California,2000,3288
California,2001,3329
California,2002,3172
California,2003,3218
California,2004,2991
California,2005,2900
California,2006,2776
California,2007,2725
California,2008,2699
California,2009,2467
California,2010,2324
California,2011,2322
California,2012,2186
California,2013,2163
California,2014,2130
California,2015,2131
California,2016,2062
Colorado,1993,107
Colorado,1994,93
Colorado,1995,92
Colorado,1996,101
Colorado,1997,94
Colorado,1998,79
Colorado,1999,88
Colorado,2000,97
Colorado,2001,138
Colorado,2002,103
Colorado,2003,111
Colorado,2004,128
Colorado,2005,101
Colorado,2006,124
Colorado,2007,111
Colorado,2008,103
Colorado,2009,85
Colorado,2010,71
Colorado,2011,70
Colorado,2012,64
Colorado,2013,74
Colorado,2014,64
Colorado,2015,73
Colorado,2016,64
Connecticut,1993,154
Connecticut,1994,147
Connecticut,1995,139
Connecticut,1996,138
Connecticut,1997,128
Connecticut,1998,127
Connecticut,1999,121
Connecticut,2000,105
Connecticut,2001,121
Connecticut,2002,105
Connecticut,2003,111
Connecticut,2004,101
Connecticut,2005,96
Connecticut,2006,89
Connecticut,2007,108
Connecticut,2008,98
Connecticut,2009,95
Connecticut,2010,85
Connecticut,2011,83
Connecticut,2012,74
Connecticut,2013,62
Connecticut,2014,60
Connecticut,2015,70
Connecticut,2016,52
DC,1993,162
DC,1994,120
DC,1995,102
DC,1996,139
DC,1997,110
DC,1998,107
DC,1999,70
DC,2000,85
DC,2001,74
DC,2002,82
DC,2003,79
DC,2004,81
DC,2005,55
DC,2006,72
DC,2007,59
DC,2008,54
DC,2009,41
DC,2010,43
DC,2011,57
DC,2012,38
DC,2013,37
DC,2014,32
DC,2015,33
DC,2016,25
Delaware,1993,66
Delaware,1994,55
Delaware,1995,56
Delaware,1996,43
Delaware,1997,38
Delaware,1998,36
Delaware,1999,34
Delaware,2000,28
Delaware,2001,33
Delaware,2002,25
Delaware,2003,32
Delaware,2004,33
Delaware,2005,27
Delaware,2006,29
Delaware,2007,19
Delaware,2008,23
Delaware,2009,19
Delaware,2010,20
Delaware,2011,21
Delaware,2012,28
Delaware,2013,18
Delaware,2014,21
Delaware,2015,22
Delaware,2016,16
Florida,1993,1646
Florida,1994,1742
Florida,1995,1547
Florida,1996,1410
Florida,1997,1393
Florida,1998,1294
Florida,1999,1273
Florida,2000,1164
Florida,2001,1138
Florida,2002,1084
Florida,2003,1041
Florida,2004,1074
Florida,2005,1093
Florida,2006,1032
Florida,2007,988
Florida,2008,957
Florida,2009,822
Florida,2010,833
Florida,2011,754
Florida,2012,678
Florida,2013,651
Florida,2014,595
Florida,2015,602
Florida,2016,639
Georgia,1993,809
Georgia,1994,740
Georgia,1995,735
Georgia,1996,792
Georgia,1997,695
Georgia,1998,630
Georgia,1999,670
Georgia,2000,695
Georgia,2001,577
Georgia,2002,535
Georgia,2003,532
Georgia,2004,537
Georgia,2005,504
Georgia,2006,507
Georgia,2007,476
Georgia,2008,476
Georgia,2009,411
Georgia,2010,411
Georgia,2011,347
Georgia,2012,359
Georgia,2013,339
Georgia,2014,334
Georgia,2015,320
Georgia,2016,302
Hawaii,1993,251
Hawaii,1994,247
Hawaii,1995,193
Hawaii,1996,200
Hawaii,1997,165
Hawaii,1998,181
Hawaii,1999,184
Hawaii,2000,136
Hawaii,2001,150
Hawaii,2002,148
Hawaii,2003,116
Hawaii,2004,116
Hawaii,2005,112
Hawaii,2006,114
Hawaii,2007,122
Hawaii,2008,124
Hawaii,2009,117
Hawaii,2010,115
Hawaii,2011,123
Hawaii,2012,117
Hawaii,2013,115
Hawaii,2014,136
Hawaii,2015,127
Hawaii,2016,119
Idaho,1993,10
Idaho,1994,13
Idaho,1995,14
Idaho,1996,15
Idaho,1997,15
Idaho,1998,14
Idaho,1999,16
Idaho,2000,16
Idaho,2001,9
Idaho,2002,14
Idaho,2003,13
Idaho,2004,11
Idaho,2005,23
Idaho,2006,20
Idaho,2007,9
Idaho,2008,11
Idaho,2009,18
Idaho,2010,15
Idaho,2011,12
Idaho,2012,15
Idaho,2013,11
Idaho,2014,11
Idaho,2015,11
Idaho,2016,18
Illinois,1993,1234
Illinois,1994,1115
Illinois,1995,1022
Illinois,1996,1063
Illinois,1997,964
Illinois,1998,842
Illinois,1999,822
Illinois,2000,738
Illinois,2001,703
Illinois,2002,679
Illinois,2003,632
Illinois,2004,567
Illinois,2005,589
Illinois,2006,563
Illinois,2007,520
Illinois,2008,466
Illinois,2009,418
Illinois,2010,372
Illinois,2011,358
Illinois,2012,347
Illinois,2013,327
Illinois,2014,319
Illinois,2015,343
Illinois,2016,342
Indiana,1993,248
Indiana,1994,211
Indiana,1995,200
Indiana,1996,202
Indiana,1997,168
Indiana,1998,188
Indiana,1999,150
Indiana,2000,145
Indiana,2001,115
Indiana,2002,128
Indiana,2003,143
Indiana,2004,128
Indiana,2005,146
Indiana,2006,124
Indiana,2007,128
Indiana,2008,118
Indiana,2009,119
Indiana,2010,90
Indiana,2011,100
Indiana,2012,102
Indiana,2013,94
Indiana,2014,108
Indiana,2015,116
Indiana,2016,109
Iowa,1993,59
Iowa,1994,66
Iowa,1995,72
Iowa,1996,69
Iowa,1997,74
Iowa,1998,55
Iowa,1999,58
Iowa,2000,40
Iowa,2001,43
Iowa,2002,34
Iowa,2003,40
Iowa,2004,47
Iowa,2005,55
Iowa,2006,40
Iowa,2007,43
Iowa,2008,49
Iowa,2009,42
Iowa,2010,48
Iowa,2011,40
Iowa,2012,46
Iowa,2013,47
Iowa,2014,54
Iowa,2015,38
Iowa,2016,48
Kansas,1993,83
Kansas,1994,84
Kansas,1995,89
Kansas,1996,73
Kansas,1997,78
Kansas,1998,56
Kansas,1999,69
Kansas,2000,77
Kansas,2001,81
Kansas,2002,86
Kansas,2003,75
Kansas,2004,62
Kansas,2005,60
Kansas,2006,82
Kansas,2007,59
Kansas,2008,57
Kansas,2009,64
Kansas,2010,46
Kansas,2011,36
Kansas,2012,42
Kansas,2013,36
Kansas,2014,40
Kansas,2015,36
Kansas,2016,39
Kentucky,1993,402
Kentucky,1994,345
Kentucky,1995,327
Kentucky,1996,259
Kentucky,1997,183
Kentucky,1998,179
Kentucky,1999,209
Kentucky,2000,147
Kentucky,2001,152
Kentucky,2002,146
Kentucky,2003,138
Kentucky,2004,127
Kentucky,2005,124
Kentucky,2006,84
Kentucky,2007,120
Kentucky,2008,101
Kentucky,2009,75
Kentucky,2010,90
Kentucky,2011,70
Kentucky,2012,78
Kentucky,2013,59
Kentucky,2014,80
Kentucky,2015,67
Kentucky,2016,91
Louisiana,1993,363
Louisiana,1994,434
Louisiana,1995,474
Louisiana,1996,420
Louisiana,1997,406
Louisiana,1998,379
Louisiana,1999,357
Louisiana,2000,331
Louisiana,2001,294
Louisiana,2002,230
Louisiana,2003,256
Louisiana,2004,248
Louisiana,2005,266
Louisiana,2006,205
Louisiana,2007,217
Louisiana,2008,227
Louisiana,2009,194
Louisiana,2010,200
Louisiana,2011,167
Louisiana,2012,148
Louisiana,2013,139
Louisiana,2014,121
Louisiana,2015,119
Louisiana,2016,127
Maine,1993,28
Maine,1994,35
Maine,1995,28
Maine,1996,21
Maine,1997,21
Maine,1998,13
Maine,1999,23
Maine,2000,24
Maine,2001,20
Maine,2002,23
Maine,2003,24
Maine,2004,20
Maine,2005,17
Maine,2006,16
Maine,2007,19
Maine,2008,9
Maine,2009,9
Maine,2010,8
Maine,2011,9
Maine,2012,17
Maine,2013,15
Maine,2014,14
Maine,2015,18
Maine,2016,23
Maryland,1993,417
Maryland,1994,362
Maryland,1995,369
Maryland,1996,317
Maryland,1997,338
Maryland,1998,321
Maryland,1999,292
Maryland,2000,283
